ZoneName	Time	SystemTime	Frame	Velocity	LaneName	LanePos	LaneIndex	LaneCount	LaneHeading	SpeedLimit	Steer	Accel	Brake	Gear	Horn	SubjectEngineRPM	SubjectHeading	SubjectPitch	SubjectRoll	SubjectX	SubjectY	SubjectZ	Signal	LatAccel	LongAccel	Collision	CollisionAngle	CollisionVelocity	VehAhead	HeadwayTime	HeadwayDist	TTC	TerrainType	CultureType	Slip	DigitalInputs	DigitalInputs2	ActiveTrigger	EntityName	DistToEntity	TimeToEntity	EntityVelocity	EntityAccel	EntityHeading	EntityX	EntityY	EntityZ	GrabData	
Unknown	0.98335	10/22/0116 07:47.20	00000059	0.004	Inter625t13-0	-0.088	1	2	0.000	11.111	10.9	0.000	0.776	P	F	0.0	0.003	0.154	-0.004	1503.500	523.206	0.019	-	0.001	0.007	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	1.98337	10/22/0116 07:47.21	00000119	0.001	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	1.000	P	F	16.7	0.003	0.188	0.000	1503.500	523.208	0.024	-	-0.000	-0.001	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000011	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	2.98339	10/22/0116 07:47.22	00000179	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	1.000	P	F	350.0	0.003	0.201	0.000	1503.500	523.209	0.026	-	-0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	3.98341	10/22/0116 07:47.23	00000239	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	0.991	P	F	477.5	0.003	0.206	0.000	1503.500	523.209	0.027	-	-0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	4.98343	10/22/0116 07:47.24	00000299	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	0.979	P	F	477.5	0.003	0.207	0.000	1503.500	523.209	0.027	-	-0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	5.98345	10/22/0116 07:47.25	00000359	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	0.970	P	F	477.5	0.003	0.208	0.000	1503.500	523.209	0.028	-	0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	6.98347	10/22/0116 07:47.26	00000419	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	0.955	P	F	477.5	0.003	0.208	0.000	1503.500	523.209	0.028	-	-0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	7.98349	10/22/0116 07:47.27	00000479	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	0.955	P	F	477.5	0.003	0.208	0.000	1503.500	523.209	0.028	-	-0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	8.98351	10/22/0116 07:47.28	00000539	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	0.958	P	F	477.5	0.003	0.208	0.000	1503.500	523.209	0.028	-	-0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	9.98353	10/22/0116 07:47.29	00000599	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	0.890	P	F	477.5	0.003	0.209	0.000	1503.500	523.209	0.028	-	-0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	10.98355	10/22/0116 07:47.30	00000659	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	0.791	P	F	477.5	0.003	0.209	0.000	1503.500	523.209	0.028	-	-0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	11.98357	10/22/0116 07:47.31	00000719	-0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	0.949	N	F	477.5	0.003	0.209	0.000	1503.500	523.209	0.028	-	-0.000	-0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	12.98359	10/22/0116 07:47.32	00000779	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	0.928	D	F	477.5	0.003	0.209	0.000	1503.500	523.209	0.028	-	0.000	0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	13.98361	10/22/0116 07:47.33	00000839	0.000	Inter625t13-0	-0.088	1	2	0.000	11.111	11.0	0.000	0.000	D	F	477.5	0.003	0.209	-0.000	1503.500	523.209	0.028	-	0.000	0.000	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	14.98363	10/22/0116 07:47.34	00000899	0.174	Inter625t13-0	-0.087	1	2	0.000	11.111	8.6	0.189	0.000	D	F	1453.7	0.024	0.168	-0.012	1503.501	523.228	0.015	-	0.034	0.659	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	15.98365	10/22/0116 07:47.35	00000959	3.321	Inter625t13-0	-0.064	1	2	0.000	11.111	12.4	0.247	0.000	D	F	1741.7	0.550	0.230	-0.009	1503.524	525.008	0.012	-	0.064	3.427	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	16.98367	10/22/0116 07:47.36	00001019	6.365	Inter625t13-0	0.037	1	2	0.000	11.111	-5.3	0.289	0.000	D	F	2168.9	1.130	0.224	0.017	1503.625	529.940	0.014	-	-0.094	2.609	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	17.98369	10/22/0116 07:47.37	00001079	8.825	Inter625t49-0	0.184	1	1	0.006	11.111	3.3	0.300	0.000	D	F	2615.1	1.381	0.226	-0.007	1503.772	537.543	0.015	-	0.081	2.653	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	18.98371	10/22/0116 07:47.38	00001139	10.585	Inter625t49-0	0.425	1	1	0.008	11.111	-6.2	0.305	0.000	D	F	2108.4	1.188	0.213	0.027	1504.014	547.330	0.019	-	-0.188	1.459	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	19.98373	10/22/0116 07:47.39	00001199	11.946	Inter625t49-0	0.558	1	1	0.006	11.111	-1.9	0.303	0.000	D	F	2211.6	0.393	0.211	0.011	1504.149	558.609	0.020	-	-0.081	1.296	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	20.98375	10/22/0116 07:47.40	00001259	13.216	Inter625t49-0	0.604	1	1	0.005	11.111	-4.5	0.310	0.000	D	F	2370.0	0.039	0.209	0.025	1504.197	571.193	0.021	-	-0.158	1.252	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	21.98377	10/22/0116 07:47.41	00001319	14.450	Inter625t15-0	0.515	1	2	0.000	11.111	1.9	0.314	0.000	D	F	2520.9	359.347	0.207	-0.001	1504.108	585.028	0.021	-	0.003	1.224	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	22.98379	10/22/0116 07:47.42	00001379	15.652	Inter614t1-0	0.438	1	2	0.000	11.111	2.4	0.312	0.000	D	F	2693.9	0.139	0.206	-0.025	1504.031	600.081	0.021	-	0.174	1.187	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	23.98381	10/22/0116 07:47.43	00001439	16.829	Inter614t1-0	0.490	1	2	0.000	11.111	-1.9	0.317	0.000	D	F	2866.1	0.058	0.204	0.019	1504.083	616.323	0.021	-	-0.125	1.166	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	24.98383	10/22/0116 07:47.44	00001499	17.970	Inter614t1-0	0.526	1	2	0.000	11.111	0.8	0.317	0.000	D	F	3023.8	0.489	0.202	-0.023	1504.119	633.726	0.021	-	0.195	1.115	-	-	-	12	11.430	205.393	2318.053	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	25.98385	10/22/0116 07:47.45	00001559	19.088	Inter614t1-0	0.644	1	2	0.000	11.111	-3.2	0.317	0.000	D	F	2781.6	0.088	0.206	0.029	1504.237	652.248	0.021	-	-0.204	1.211	-	-	-	12	10.768	205.537	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
Unknown	26.98387	10/22/0116 07:47.46	00001619	19.834	Inter614t1-0	0.617	1	2	0.000	11.111	-0.0	0.323	0.000	D	F	2331.0	359.842	0.194	-0.001	1504.210	671.743	0.024	-	0.002	0.635	-	-	-	12	10.416	206.583	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	
